housing_median_age,population,median_income,median_house_value,ocean_proximity,rooms_per_household,population_per_household,bedrooms_per_room
52.0,193.0,1.975,47500.0,INLAND,2.8,4.825,0.25
43.0,836.0,2.2604,100000.0,NEAR BAY,3.6714801444043323,3.0180505415162453,0.3225172074729597
17.0,1387.0,6.299,285800.0,<1H OCEAN,6.478021978021978,3.8104395604395602,0.16793893129770993
17.0,3051.0,1.7199,175000.0,<1H OCEAN,2.518,3.051,0.4749801429706116
50.0,606.0,2.2206,59200.0,INLAND,4.622754491017964,3.62874251497006,0.25129533678756477
14.0,572.0,8.847,388700.0,<1H OCEAN,8.093959731543624,3.838926174496644,0.11774461028192372
17.0,1809.0,5.2586,137000.0,INLAND,6.945035460992908,3.2074468085106385,0.16287975491447537
18.0,1968.0,3.6294,240000.0,<1H OCEAN,3.4987951807228916,1.580722891566265,0.30624426078971534
4.0,853.0,5.0821,265500.0,<1H OCEAN,4.014634146341463,2.080487804878049,0.24787363304981774
31.0,1939.0,3.5089,305800.0,<1H OCEAN,4.458885941644563,2.5716180371352784,0.23765615704937537
12.0,4861.0,4.2985,139200.0,INLAND,5.720577617328519,3.5097472924187727,0.18553578190079514
27.0,1158.0,2.4342,119500.0,INLAND,4.477642276422764,2.3536585365853657,0.22378574670903315
15.0,515.0,2.0109,54300.0,INLAND,7.124542124542124,1.8864468864468864,0.27557840616966583
20.0,2341.0,2.0114,104900.0,NEAR OCEAN,3.6439716312056736,3.3205673758865246,0.28688205527442584
12.0,1071.0,1.2532,102100.0,INLAND,3.456445993031359,1.8658536585365855,0.3094758064516129
16.0,1319.0,2.0472,93200.0,INLAND,5.931558935361217,2.5076045627376424,0.20544871794871794
25.0,1857.0,5.0371,180200.0,INLAND,6.385656292286874,2.512855209742896,0.15787243059970332
32.0,1457.0,1.8438,66600.0,INLAND,5.139817629179332,4.428571428571429,0.20875221762270846
29.0,341.0,0.7069,70300.0,INLAND,3.0934579439252334,3.1869158878504673,0.256797583081571
38.0,2899.0,2.5521,157500.0,<1H OCEAN,2.859848484848485,3.6603535353535355,0.3536423841059603
